
0 0.35 1.01863 -0.31863
1 51.25 62.8263 39.6737
2 111.15 124.232 98.0676
3 167.05 202.225 131.875
5 381.7 420.953 342.447
4 230.55 250.996 210.104
6 416.25 433.192 399.308
7 655.7 712.242 599.158
8 739.05 824.005 654.095
9 1563.65 1695.73 1431.57
10 1930 2027.54 1832.46
11 2959.7 3186.38 2733.02
12 5119.15 5433.6 4804.7
13 8643.4 9258.92 8027.88
14 17728 18323.6 17132.4
15 24580.3 26410.2 22750.4
16 32034.4 33926.4 30142.4
17 74314.8 76797 71832.5
18 88227.2 91378.3 85076.2
19 162588 167963 157212
20 144107 147481 140733
21 305700 311072 300329
22 386172 392797 379547
23 436311 441296 431325
24 623048 630742 615353
25 734470 744190 724749
26 765956 778183 753730
27 893988 900233 887744
28 906089 913365 898812
29 950590 957709 943470
30 955539 968418 942660
31 959724 969990 949458
