
0 19.35 27.4613 11.2387
1 66.7 82.0914 51.3086
2 96.55 108.287 84.8133
3 121.5 130.482 112.518
5 264.95 397.258 132.642
4 224.4 290.058 158.742
6 202 212.762 191.238
7 191.85 206.027 177.673
8 291.45 392.157 190.743
9 338.45 355.707 321.193
10 308.75 322.191 295.309
11 363.95 389.365 338.535
12 450.5 490.132 410.868
13 531.5 580.533 482.467
14 777.05 851.128 702.972
15 821.8 880.417 763.183
16 1015.95 1078.31 953.59
17 1370.75 1477.27 1264.23
18 1372.2 1435.83 1308.57
19 1825 1972.83 1677.17
20 2132.1 2248.93 2015.27
21 3369.85 3654.27 3085.43
22 3115.4 3389.99 2840.81
23 7438.35 7804.25 7072.45
24 8793.15 9332.39 8253.91
25 15809.2 17017.4 14601.1
26 30590.5 32262.8 28918.1
27 65768.2 68553.5 62983
28 36530.7 38102.6 34958.7
29 216549 220921 212177
30 63218.7 65932.5 60504.9
31 372202 378201 366203
