0 27.35 36.7746 17.9254
1 80.9 96.9534 64.8466
2 146.15 156.494 135.806
3 200.75 217.54 183.96
5 409.8 437.955 381.645
4 316.9 339.866 293.934
6 1144 1527.02 760.984
7 1051.1 1140.84 961.355
8 1195.15 1293.16 1097.14
9 2007.95 2115.8 1900.1
10 5293.55 5801.65 4785.45
11 6361.7 6676.32 6047.08
12 11742.8 12626.3 10859.2
13 18411 19293 17528.9
14 35621.6 37162.5 34080.7
15 60434 62031.2 58836.8
16 207330 213875 200784
17 353884 369391 338377
18 650081 686772 613390
19 2.17447e+06 2.19768e+06 2.15127e+06
20 3.78948e+06 3.83852e+06 3.74043e+06
21 5.97125e+06 6.04105e+06 5.90144e+06
22 1.59494e+07 1.60177e+07 1.5881e+07
23 2.38503e+07 2.3965e+07 2.37356e+07
