0 15 20.4317 9.56829
1 43.95 51.9206 35.9794
2 97.9 118.976 76.8239
3 82.75 89.9393 75.5607
5 232.35 268.435 196.265
4 166 181.748 150.252
6 324.7 342.082 307.318
7 594.3 649.775 538.825
8 650.3 729.868 570.732
9 986.75 1109.04 864.458
10 1563.25 1697.23 1429.27
11 1971.05 2089.48 1852.62
12 3542.8 3702.58 3383.02
13 6211.1 6605.89 5816.31
14 14897.6 16385.8 13409.5
15 19455.1 20441.9 18468.3
16 32221.8 33589.5 30854.2
17 71729.9 73884.9 69574.9
18 93338.6 96874.9 89802.4
19 210084 213729 206439
20 219170 222575 215766
21 598895 604839 592951
22 916739 926620 906858
23 1.3214e+06 1.33864e+06 1.30417e+06
24 2.4304e+06 2.45159e+06 2.40921e+06
25 4.38755e+06 4.41679e+06 4.35831e+06
26 5.75026e+06 5.7866e+06 5.71392e+06
27 1.3919e+07 1.39856e+07 1.38524e+07
28 1.71893e+07 1.72566e+07 1.7122e+07
29 3.61453e+07 3.66664e+07 3.56242e+07
30 5.14942e+07 5.16393e+07 5.13491e+07
31 1.07404e+08 1.07746e+08 1.07062e+08
